creek,reach,site,riffle,date,site_lngth,riffle_lngth,bf_width,ParticleSize_2_Total,ParticleSize_2_8_Total,ParticleSize_4_Total,ParticleSize_5_6_Total,ParticleSize_8_Total,ParticleSize_11_Total,ParticleSize_16_Total,ParticleSize_22_6_Total,ParticleSize_32_Total,ParticleSize_45_Total,ParticleSize_64_Total,ParticleSize_90_Total,ParticleSize_128_Total,ParticleSize_180_Total,ParticleSize_181_Total
Red Rock Creek,Elk Lake Road to Battle Creek,1,1,7/22/2019 0:00:00,224.00,20.80,9.95,46,1,4,1,9,10,20,13,4,1,1,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,1,7/31/2017 0:00:00,282.00,22.00,8.27,23,1,1,7,7,12,26,27,6,2,2,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,1,7/20/2015 0:00:00,183.76,60.00,7.75,31,1,4,2,8,7,21,15,6,3,0,1,1,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,2,7/22/2019 0:00:00,224.00,30.00,10.60,16,2,0,5,15,16,21,17,7,1,0,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,2,7/20/2015 0:00:00,183.76,8.20,6.50,62,1,3,5,2,6,3,2,3,1,2,6,3,1,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,2,7/31/2017 0:00:00,282.00,25.70,11.00,39,2,5,8,14,16,13,3,0,0,1,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,3,7/31/2017 0:00:00,282.00,10.76,8.20,48,5,3,3,3,13,14,11,1,1,0,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,3,7/22/2019 0:00:00,224.00,18.70,9.10,21,2,3,7,12,15,18,15,7,1,0,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,3,7/20/2015 0:00:00,183.76,32.00,9.26,28,4,9,8,15,21,11,4,0,0,0,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,4,7/22/2019 0:00:00,224.00,48.60,11.45,24,5,5,18,16,13,12,7,0,0,0,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,4,7/31/2017 0:00:00,282.00,17.75,8.87,20,8,4,8,24,20,10,9,1,0,0,0,0,0,0
Red Rock Creek,Elk Lake Road to Battle Creek,1,4,7/20/2015 0:00:00,183.76,17.10,7.15,21,11,6,15,15,15,15,3,1,0,0,0,0,0,0
Picnic Creek,Widgeon Pond to Elk Springs Creek,10,1,7/23/2019 0:00:00,152.00,7.70,4.05,65,6,5,2,4,6,4,5,2,1,0,0,0,0,0
Picnic Creek,Widgeon Pond to Elk Springs Creek,10,1,7/20/2015 0:00:00,64.00,64.00,3.20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picnic Creek,Widgeon Pond to Elk Springs Creek,10,1,8/1/2017 0:00:00,152.00,16.00,4.00,94,0,0,0,6,0,0,0,0,0,0,0,0,0,0
Picnic Creek,Widgeon Pond to Elk Springs Creek,10,2,7/23/2019 0:00:00,152.00,26.30,4.10,77,7,3,6,2,1,2,1,0,0,1,0,0,0,0
Picnic Creek,Widgeon Pond to Elk Springs Creek,10,2,8/1/2017 0:00:00,152.00,16.00,4.00,70,2,1,2,4,2,10,5,3,0,0,0,0,0,0
Picnic Creek,Widgeon Pond to Elk Springs Creek,10,3,8/1/2017 0:00:00,152.00,18.80,4.00,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Picnic Creek,Widgeon Pond to Elk Springs Creek,10,3,7/23/2019 0:00:00,152.00,9.70,5.60,82,5,4,4,3,2,0,0,0,0,0,0,0,0,0
Picnic Creek,Widgeon Pond to Elk Springs Creek,10,4,7/23/2019 0:00:00,152.00,8.10,3.40,75,10,4,1,5,5,0,0,0,0,0,0,0,0,0
Picnic Creek,Widgeon Pond to Elk Springs Creek,10,4,8/1/2017 0:00:00,152.00,18.80,4.00,94,0,0,0,3,0,0,2,1,0,0,0,0,0,0
Elk Creek,Forks,11A West,1,7/21/2015 0:00:00,35.20,8.80,4.45,8,0,1,9,19,21,27,11,5,0,0,0,0,0,0
Elk Creek,Forks,11A West,1,8/2/2017 0:00:00,52.00,26.00,4.00,30,1,2,4,8,23,13,15,1,3,0,0,0,0,0
Elk Creek,Forks,11A West,2,8/2/2017 0:00:00,52.00,26.00,2.60,28,1,1,4,13,16,18,8,9,1,0,0,0,0,2
Elk Creek,Forks,11A West,2,7/21/2015 0:00:00,35.20,8.80,4.05,15,1,8,4,11,14,26,11,5,4,1,0,0,0,0
Elk Creek,Forks,11A West,3,7/21/2015 0:00:00,35.20,8.80,3.53,11,0,1,6,25,15,17,15,5,5,0,0,0,0,0
Elk Creek,Forks,11A West,3,7/23/2019 0:00:00,120.00,30.00,1.40,30,5,4,11,14,13,9,7,4,3,0,0,0,0,0
Elk Creek,Forks,11A West,4,7/21/2015 0:00:00,35.20,8.80,2.08,15,1,3,5,16,9,21,20,7,1,2,0,0,0,0
Elk Creek,Forks,11A West,4,7/23/2019 0:00:00,120.00,30.00,2.70,28,3,11,11,12,16,8,7,2,2,0,0,0,0,0
Elk Creek,Forks,11B East,1,8/2/2017 0:00:00,63.90,31.90,5.70,3,0,0,4,2,4,24,13,27,18,6,1,0,0,0
Elk Creek,Forks,11B East,1,7/21/2015 0:00:00,51.20,12.80,2.25,0,1,2,2,7,6,17,16,24,17,7,1,0,0,0
Elk Creek,Forks,11B East,1,7/23/2019 0:00:00,120.00,30.00,3.00,3,1,1,5,7,10,13,11,23,14,6,4,3,1,0
Elk Creek,Forks,11B East,2,8/2/2017 0:00:00,63.90,31.90,5.70,3,0,1,4,5,13,22,20,18,13,2,1,0,0,0
Elk Creek,Forks,11B East,2,7/21/2015 0:00:00,51.20,12.80,3.26,6,0,1,3,4,13,15,18,19,14,5,1,1,0,0
Elk Creek,Forks,11B East,2,7/23/2019 0:00:00,120.00,30.00,3.30,3,1,5,5,8,4,10,22,22,13,7,2,0,0,0
Elk Creek,Forks,11B East,3,7/21/2015 0:00:00,51.20,12.80,3.26,1,0,0,0,2,13,16,18,19,21,8,2,0,0,0
Elk Creek,Forks,11B East,4,7/21/2015 0:00:00,51.20,12.80,3.40,0,0,0,3,6,5,6,17,27,20,9,6,0,1,0
Elk Creek,MacDonald Pond to Elk Lake Road,12,1,7/21/2015 0:00:00,121.00,121.00,6.05,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elk Creek,MacDonald Pond to Elk Lake Road,12,1,7/23/2019 0:00:00,100.00,100.00,5.00,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odell Creek,Downstream of Shambow Creek,14,1,8/2/2017 0:00:00,565.00,12.50,7.80,28,19,22,15,9,5,2,0,0,0,0,0,0,0,0
Odell Creek,Downstream of Shambow Creek,14,1,7/21/2015 0:00:00,243.86,30.00,6.35,70,5,11,9,5,0,0,0,0,0,0,0,0,0,0
Odell Creek,Downstream of Shambow Creek,14,2,8/2/2017 0:00:00,565.00,9.00,9.70,39,24,18,12,5,2,0,0,0,0,0,0,0,0,0
Odell Creek,Downstream of Shambow Creek,14,2,7/21/2015 0:00:00,243.86,18.70,6.95,79,4,5,3,3,3,2,1,0,0,0,0,0,0,0
Odell Creek,Downstream of Shambow Creek,14,3,7/21/2015 0:00:00,243.86,30.25,7.43,59,0,9,11,7,6,4,4,0,0,0,0,0,0,0
Odell Creek,Downstream of Shambow Creek,14,3,8/2/2017 0:00:00,565.00,8.30,7.40,26,8,9,7,15,12,11,10,2,0,0,0,0,0,0
Odell Creek,Downstream of Shambow Creek,14,4,8/2/2017 0:00:00,565.00,13.20,8.00,35,2,13,11,14,14,9,2,0,0,0,0,0,0,0
Odell Creek,Downstream of Shambow Creek,14,4,7/21/2015 0:00:00,243.86,30.00,7.20,24,5,13,15,19,8,8,7,1,0,0,0,0,0,0
Odell Creek,South Valley Road to Shambow Creek,15,1,7/22/2015 0:00:00,77.35,11.90,7.90,12,3,3,3,7,5,18,17,23,7,2,0,0,0,0
Odell Creek,South Valley Road to Shambow Creek,15,1,8/2/2017 0:00:00,103.00,4.65,8.00,28,2,2,2,1,11,14,16,9,9,6,2,0,0,0
Odell Creek,South Valley Road to Shambow Creek,15,2,7/22/2015 0:00:00,77.35,7.00,6.70,12,1,2,3,8,13,13,7,14,17,7,3,0,0,0
Odell Creek,South Valley Road to Shambow Creek,15,2,8/2/2017 0:00:00,103.00,3.15,7.95,8,2,1,1,5,11,14,12,20,17,11,0,0,0,0
Odell Creek,South Valley Road to Shambow Creek,15,3,8/2/2017 0:00:00,103.00,2.50,8.95,18,0,0,1,2,7,18,23,19,13,3,0,0,0,0
